year,county_name,state,county,population,median_income,poverty_rate,hs_grad,some_college,associate,bachelor_plus,pct_white,pct_black,pct_hispanic
2012,Weber,49,057,236640,54045,0.126861555432984,21878,8016,1537,1085,0.7755747126436782,0.012470419202163624,0.17203346855983773
2012,Salt Lake,49,035,1063842,58856,0.13143872621146194,133636,51903,13940,11188,0.7324743711942187,0.014723990968583681,0.17504197051817846
2012,Cache,49,005,115520,46016,0.16563900340562826,14133,4898,916,1772,0.8484764542936288,0.003306786703601108,0.10147160664819944
2012,Utah,49,049,540504,58425,0.14263088012139605,66402,20287,4004,5059,0.8374757633616032,0.005087843938250226,0.10996033331853233
2012,Davis,49,011,315809,68931,0.08356028404897045,43957,13909,3140,1466,0.8518661596091308,0.010506350357336238,0.08721727373190757
2013,Washington,49,053,147800,51063,0.1588322170702387,18378,6341,2449,1880,0.8520906630581867,0.006028416779431664,0.0987212449255751
2013,Weber,49,057,238519,53809,0.13667452127976318,24242,8964,1153,728,0.7721481307568789,0.011495939526830147,0.1740490275407829
2013,Salt Lake,49,035,1079721,61775,0.12550872270457367,134473,51504,12841,11638,0.7292393127483859,0.016118052719174675,0.17570001880115327
2013,Cache,49,005,116909,48587,0.14392951260414727,14437,5253,532,1832,0.8475395392997973,0.007381809783677903,0.10224191465156661
2013,Utah,49,049,551891,60172,0.13767058701236987,69782,22703,4056,5317,0.83261368639822,0.005506522121215965,0.11022647588020099
2013,Davis,49,011,322094,70335,0.08258007267546312,42626,15007,2375,1121,0.8499444261613069,0.012654690866641415,0.08811092414015784
2014,Washington,49,053,151948,49981,0.11994214837475589,15585,6839,731,1128,0.8507318293100271,0.007693421433648353,0.09980388027483086
2014,Weber,49,057,240475,59604,0.12239657872139814,24291,9139,813,1049,0.7698014346605676,0.008462418130782825,0.17707038153654225
2014,Salt Lake,49,035,1091742,62672,0.11692383638011938,137481,53936,13464,10550,0.724775633803591,0.01639398319383151,0.17796512362810993
2014,Cache,49,005,118343,51556,0.14693536307108146,13190,5472,542,1618,0.8300871196437474,0.0018843531091826302,0.10466187269208994
2014,Utah,49,049,560974,60944,0.12564391984668097,71353,21200,4930,4776,0.8324485626784842,0.0055225375864122045,0.11214423484867392
2014,Davis,49,011,329692,70440,0.0683041620181551,46744,16136,2667,1692,0.8452555718670759,0.014164735571381775,0.09054814796840688
2015,Washington,49,053,155602,54913,0.1369015038965778,14232,7585,2031,1339,0.8472963072454082,0.008630994460225448,0.10127761853960746
2015,Weber,49,057,243645,59146,0.12541051329211939,24446,7337,1251,1447,0.7664552935623551,0.008853044388351905,0.1790761148392128
2015,Salt Lake,49,035,1107314,65694,0.1043101091084674,147696,54469,14382,10773,0.7212055478391857,0.016929254032731458,0.1796590668952077
2015,Cache,49,005,120783,50518,0.1743004811976475,14045,4831,569,1511,,,
2015,Utah,49,049,575205,65487,0.12600711356464053,73207,24171,4497,5050,0.827913526481863,0.006582001199572326,0.11398023313427387
2015,Davis,49,011,336043,72016,0.06668976682777038,48865,17149,2927,963,0.8417970319274617,0.010317132033698068,0.09385406034346795
